path,status,detail,urn,d0,d1,d2
../canonical-engLit/data/shakespeare/lll/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/lll/shakespeare.lll.f1.xml,ok,,urn:cts:engLit:shakespeare.lll.f1,5,9,
../canonical-engLit/data/shakespeare/lll/shakespeare.lll.globe.xml,ok,,urn:cts:engLit:shakespeare.lll.globe,5,9,48
../canonical-engLit/data/shakespeare/lr/Bod-F-lr.xml,skipped,no refsDecl[citeStructure],,,,
../canonical-engLit/data/shakespeare/lr/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/lr/lr-first-11-lines.xml,skipped,no refsDecl[citeStructure],,,,
../canonical-engLit/data/shakespeare/lr/shakespeare.lr.f1.xml,ok,,urn:cts:engLit:shakespeare.lr.f1,5,25,
../canonical-engLit/data/shakespeare/lr/shakespeare.lr.globe.xml,ok,,urn:cts:engLit:shakespeare.lr.globe,6,26,3626
../canonical-engLit/data/shakespeare/luc/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/luc/shakespeare.luc.folger.xml,skipped,no refsDecl[citeStructure],,,,
../canonical-engLit/data/shakespeare/luc/shakespeare.luc.globe.xml,config_error,First-level citeStructure declares delim='.'; must be ':' (CTS passage separator),,,,
../canonical-engLit/data/shakespeare/mac/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/mac/shakespeare.mac.f1.xml,ok,,urn:cts:engLit:shakespeare.mac.f1,5,28,
../canonical-engLit/data/shakespeare/mac/shakespeare.mac.globe.xml,ok,,urn:cts:engLit:shakespeare.mac.globe,6,28,8
../canonical-engLit/data/shakespeare/mm/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/mm/shakespeare.mm.f1.xml,ok,,urn:cts:engLit:shakespeare.mm.f1,5,17,
../canonical-engLit/data/shakespeare/mm/shakespeare.mm.globe.xml,ok,,urn:cts:engLit:shakespeare.mm.globe,6,17,67
../canonical-engLit/data/shakespeare/mnd/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/mnd/shakespeare.mnd.f1.xml,ok,,urn:cts:engLit:shakespeare.mnd.f1,5,9,
../canonical-engLit/data/shakespeare/mnd/shakespeare.mnd.globe.xml,ok,,urn:cts:engLit:shakespeare.mnd.globe,6,9,16
../canonical-engLit/data/shakespeare/mv/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/mv/shakespeare.mv.f1.xml,ok,,urn:cts:engLit:shakespeare.mv.f1,5,20,
../canonical-engLit/data/shakespeare/mv/shakespeare.mv.globe.xml,ok,,urn:cts:engLit:shakespeare.mv.globe,6,20,29
../canonical-engLit/data/shakespeare/oth/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/oth/shakespeare.oth.f1.xml,ok,,urn:cts:engLit:shakespeare.oth.f1,5,15,
../canonical-engLit/data/shakespeare/oth/shakespeare.oth.globe.xml,ok,,urn:cts:engLit:shakespeare.oth.globe,6,15,14
../canonical-engLit/data/shakespeare/per/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/per/shakespeare.per.f1.xml,ok,,urn:cts:engLit:shakespeare.per.f1,5,22,
