act,scene,anchor_a,anchor_b,gap,boundaries_between,excess,closes,boundary_position,boundary_n,leads_into
1,2,60,79,19,20,1,no,20,79,and fortune him accordingly !
1,2,79,90,11,14,3,no,1,,Amen.
1,2,79,90,11,14,3,no,2,,"Lo, now, if it lay in their hands to"
1,2,79,90,11,14,3,no,3,,make me a
1,2,79,90,11,14,3,no,4,,"whores, but"
1,2,79,90,11,14,3,no,5,,Hush! here comes Antony.
1,2,79,90,11,14,3,no,6,,Not he; the queen.
1,2,79,90,11,14,3,no,7,,Saw you my lord ?
1,2,79,90,11,14,3,no,8,,"No, lady."
1,2,79,90,11,14,3,no,9,,Was he not here ?
1,2,79,90,11,14,3,no,10,,"No, madam."
1,2,79,90,11,14,3,no,11,,He was disposed to mirth; but on the sudden
1,2,79,90,11,14,3,no,12,,A Roman thought hath struck him.
1,2,79,90,11,14,3,no,13,,Madam ?
1,2,79,90,11,14,3,no,14,90,"Seek him, and bring him hither. Where's Alexas ?"
1,2,90,100,10,11,1,no,1,,"Here, at your service."
1,2,90,100,10,11,1,no,2,,We will not look upon him:
1,2,90,100,10,11,1,no,3,,Fulvia thy wife
1,2,90,100,10,11,1,no,4,,Against my brother Lucius ?
1,2,90,100,10,11,1,no,5,,Ay:
1,2,90,100,10,11,1,no,6,,"But soon that war had end,"
1,2,90,100,10,11,1,no,7,,"Made friends of them, joining their force 'gainst Cæsar;"
1,2,90,100,10,11,1,no,8,,"Whose better issue in the war, from Italy,"
1,2,90,100,10,11,1,no,9,,"Upon the first encounter, drave them."
1,2,90,100,10,11,1,no,10,,"Well, what worst ?"
1,2,90,100,10,11,1,no,11,100,The nature of bad news infects the teller.
1,2,100,110,10,13,3,no,1,,When it concerns the fool or coward. On:
1,2,100,110,10,13,3,no,2,,Things that are past are done with me. 'Tis thus:
1,2,100,110,10,13,3,no,3,,"Who tells me true, though in his tale lie death,"
1,2,100,110,10,13,3,no,4,,I hear him as he flatter'd.
1,2,100,110,10,13,3,no,5,,Labienus—
1,2,100,110,10,13,3,no,6,,This is stiff news-
1,2,100,110,10,13,3,no,7,,Extended Asia from Euphrates;
1,2,100,110,10,13,3,no,8,,His conquering
1,2,100,110,10,13,3,no,9,,To Lydia
1,2,100,110,10,13,3,no,10,,Whilst—
1,2,100,110,10,13,3,no,11,,"Antony, thou wouldst say,—"
1,2,100,110,10,13,3,no,12,,"O, my lord !"
1,2,100,110,10,13,3,no,13,110,"Speak to me home,"
