act,scene,anchor_a,anchor_b,gap,boundaries_between,excess,closes,boundary_position,boundary_n,leads_into
1,1,150,160,10,12,2,no,5,,Thy youngest daughter does not love thee least;
1,1,150,160,10,12,2,no,6,,Nor are those empty-hearted whose low sound
1,1,150,160,10,12,2,no,7,,Reverbs no hollowness.
1,1,150,160,10,12,2,no,8,,"Kent, on thy life, no more."
1,1,150,160,10,12,2,no,9,,My life I never held but as a pawn
1,1,150,160,10,12,2,no,10,,"To wage against thy enemies; nor fear to lose it,"
1,1,150,160,10,12,2,no,11,,Thy safety being the motive.
1,1,150,160,10,12,2,no,12,160,Out of my sight!
1,1,160,170,10,14,4,no,1,,"See better, Lear; and let me still remain"
1,1,160,170,10,14,4,no,2,,The true blank of thine eye.
1,1,160,170,10,14,4,no,3,,"Now, by Apollo,--"
1,1,160,170,10,14,4,no,4,,"Now, by Apollo, king,"
1,1,160,170,10,14,4,no,5,,Thou swear'st thy gods in vain.
1,1,160,170,10,14,4,no,6,,"O, vassal! miscreant!"
1,1,160,170,10,14,4,no,7,,"Dear sir, forbear."
1,1,160,170,10,14,4,no,8,,"Dear sir, forbear."
1,1,160,170,10,14,4,no,9,,Do;
1,1,160,170,10,14,4,no,10,,"Kill thy physician, and the fee bestow"
1,1,160,170,10,14,4,no,11,,Upon thy foul disease. Revoke thy doom;
1,1,160,170,10,14,4,no,12,,"Or, whilst I can vent clamour from my throat,"
1,1,160,170,10,14,4,no,13,,I'll tell thee thou dost evil.
1,1,160,170,10,14,4,no,14,170,"Hear me, recreant!"
1,1,170,179,9,9,0,yes,,,
1,1,179,191,12,12,0,yes,,,
1,1,191,200,9,11,2,no,1,,lord.
1,1,191,200,9,11,2,no,2,,"My lord of Burgundy,"
1,1,191,200,9,11,2,no,3,,"We first address towards you, who with this king"
1,1,191,200,9,11,2,no,4,,"Hath rivall'd for our daughter: what, in the least,"
1,1,191,200,9,11,2,no,5,,"Will you require in present dower with her,"
1,1,191,200,9,11,2,no,6,,Or cease your quest of love?
1,1,191,200,9,11,2,no,7,,"Most royal majesty,"
1,1,191,200,9,11,2,no,8,,"I crave no more than what your highness offer'd,"
1,1,191,200,9,11,2,no,9,,Nor will you tender less.
1,1,191,200,9,11,2,no,10,,"Right noble Burgundy,"
1,1,191,200,9,11,2,no,11,200,"When she was dear to us, we did hold her so;"
1,1,200,210,10,12,2,no,1,,"But now her price is fall'n. Sir, there she stands:"
1,1,200,210,10,12,2,no,2,,"If aught within that little seeming substance,"
1,1,200,210,10,12,2,no,3,,"Or all of it, with our displeasure pieced,"
1,1,200,210,10,12,2,no,4,,"And nothing more, may fitly like your grace,"
1,1,200,210,10,12,2,no,5,,"She's there, and she is yours."
1,1,200,210,10,12,2,no,6,,I know no answer.
1,1,200,210,10,12,2,no,7,,"Will you, with those infirmities she owes,"
1,1,200,210,10,12,2,no,8,,"Unfriended, new-adopted to our hate,"
1,1,200,210,10,12,2,no,9,,"Dower'd with our curse, and stranger'd with our oath,"
1,1,200,210,10,12,2,no,10,,"Take her, or leave her?"
1,1,200,210,10,12,2,no,11,,"Pardon me, royal sir;"
1,1,200,210,10,12,2,no,12,210,Election makes not up on such conditions.
1,1,210,219,9,10,1,no,1,,"Then leave her, sir; for, by the power that made me,"
1,1,210,219,9,10,1,no,2,,I tell you all her wealth.
1,1,210,219,9,10,1,no,3,,"I would not from your love make such a stray,"
1,1,210,219,9,10,1,no,4,,To match you where I hate! therefore beseech you
1,1,210,219,9,10,1,no,5,,To avert your liking a more worthier way
1,1,210,219,9,10,1,no,6,,Than on a wretch whom nature is ashamed
1,1,210,219,9,10,1,no,7,,Almost to acknowledge hers.
1,1,210,219,9,10,1,no,8,,"This is most strange,"
1,1,210,219,9,10,1,no,9,,"That she, that even but now was your best object,"
1,1,210,219,9,10,1,no,10,219,"The argument of your praise, balm of your age,"
1,1,219,230,11,12,1,no,1,,"Most best, most dearest, should in this trice of time"
1,1,219,230,11,12,1,no,2,,"Commit a thing so monstrous, to dismantle"
1,1,219,230,11,12,1,no,3,,"So many folds of favor. Sure, her offence"
1,1,219,230,11,12,1,no,4,,"Must be of such unnatural degree,"
1,1,219,230,11,12,1,no,5,,"That monsters it, or your fore-vouch'd affection"
1,1,219,230,11,12,1,no,6,,"Fall'n into taint: which to believe of her,"
1,1,219,230,11,12,1,no,7,,Must be a faith that reason without miracle
1,1,219,230,11,12,1,no,8,,Could never plant in me.
1,1,219,230,11,12,1,no,9,,"I yet beseech your majesty,--"
1,1,219,230,11,12,1,no,10,,"If for I want that glib and oily art,"
1,1,219,230,11,12,1,no,11,,"To speak and purpose not; since what I well intend,"
1,1,219,230,11,12,1,no,12,230,"I'll do't before I speak,--that you make known"
1,1,230,239,9,10,1,no,1,,"It is no vicious blot, murder, or foulness,"
1,1,230,239,9,10,1,no,2,,"No unchaste action, or dishonour'd step,"
1,1,230,239,9,10,1,no,3,,That hath deprived me of your grace and favor;
1,1,230,239,9,10,1,no,4,,"But even for want of that for which I am richer,"
1,1,230,239,9,10,1,no,5,,"A still-soliciting eye, and such a tongue"
1,1,230,239,9,10,1,no,6,,"As I am glad I have not, though not to have it"
1,1,230,239,9,10,1,no,7,,Hath lost me in your liking.
1,1,230,239,9,10,1,no,8,,Better thou
1,1,230,239,9,10,1,no,9,,Hadst not been born than not to have pleased me better.
1,1,230,239,9,10,1,no,10,239,"Is it but this,--a tardiness in nature"
1,1,239,251,12,14,2,no,1,,Which often leaves the history unspoke
1,1,239,251,12,14,2,no,2,,"That it intends to do? My lord of Burgundy,"
1,1,239,251,12,14,2,no,3,,What say you to the lady? Love's not love
1,1,239,251,12,14,2,no,4,,When it is mingled with regards that stand
1,1,239,251,12,14,2,no,5,,Aloof from the entire point. Will you have her?
1,1,239,251,12,14,2,no,6,,She is herself a dowry.
1,1,239,251,12,14,2,no,7,,"Royal Lear,"
1,1,239,251,12,14,2,no,8,,"Give but this portion which yourself proposed,"
1,1,239,251,12,14,2,no,9,,"And here I take Cordelia by the hand,"
1,1,239,251,12,14,2,no,10,,Duchess of Burgundy.
1,1,239,251,12,14,2,no,11,,Nothing: I have sworn; I am firm.
1,1,239,251,12,14,2,no,12,,"I am sorry, then, you have so lost a father"
1,1,239,251,12,14,2,no,13,,That you must lose a husband.
1,1,239,251,12,14,2,no,14,251,Peace be with Burgundy!
1,1,251,261,10,10,0,yes,,,
1,1,261,270,9,9,0,yes,,,
1,1,270,279,9,10,1,no,1,,Bid farewell to your sisters.
1,1,270,279,9,10,1,no,2,,"The jewels of our father, with wash'd eyes"
1,1,270,279,9,10,1,no,3,,Cordelia leaves you: I know you what you are;
1,1,270,279,9,10,1,no,4,,And like a sister am most loath to call
1,1,270,279,9,10,1,no,5,,Your faults as they are named. Use well our father:
1,1,270,279,9,10,1,no,6,,To your professed bosoms I commit him:
1,1,270,279,9,10,1,no,7,,"But yet, alas, stood I within his grace,"
1,1,270,279,9,10,1,no,8,,I would prefer him to a better place.
1,1,270,279,9,10,1,no,9,,"So, farewell to you both."
1,1,270,279,9,10,1,no,10,279,Prescribe not us our duties.
1,1,279,290,11,12,1,no,1,,Let your study
1,1,279,290,11,12,1,no,2,,"Be to content your lord, who hath received you"
1,1,279,290,11,12,1,no,3,,"At fortune's alms. You have obedience scanted,"
1,1,279,290,11,12,1,no,4,,And well are worth the want that you have wanted.
1,1,279,290,11,12,1,no,5,,Time shall unfold what plaited cunning hides:
1,1,279,290,11,12,1,no,6,,"Who cover faults, at last shame them derides."
1,1,279,290,11,12,1,no,7,,Well may you prosper!
1,1,279,290,11,12,1,no,8,,"Come, my fair Cordelia."
1,1,279,290,11,12,1,no,9,,"Sister, it is not a little I have to say"
1,1,279,290,11,12,1,no,10,,of what most nearly appertains to us both.
1,1,279,290,11,12,1,no,11,,I think our father will hence to-night.
1,1,279,290,11,12,1,no,12,290,"That's most certain, and with you;"
1,1,290,310,20,20,0,yes,,,
1,2,10,20,10,10,0,yes,,,
1,2,20,30,10,10,0,yes,,,
1,2,30,40,10,10,0,yes,,,
1,2,40,70,30,32,2,no,1,,I find it not fit for your
1,2,40,70,30,32,2,no,2,,"Give me the letter, sir."
1,2,40,70,30,32,2,no,3,,"I shall offend, either to detain or"
1,2,40,70,30,32,2,no,4,,give it.
1,2,40,70,30,32,2,no,5,,"them,"
1,2,40,70,30,32,2,no,6,,"Let's see, let's see."
1,2,40,70,30,32,2,no,7,,"I hope, for my brother's justification,"
1,2,40,70,30,32,2,no,8,,he wrote
1,2,40,70,30,32,2,no,9,,virtue.
1,2,40,70,30,32,2,no,10,,'This policy and reverence of
1,2,40,70,30,32,2,no,11,,age makes the
1,2,40,70,30,32,2,no,12,,our times; keeps our fortunes from
1,2,40,70,30,32,2,no,13,,oldness cannot relish them. I begin to find an
1,2,40,70,30,32,2,no,14,,idle
1,2,40,70,30,32,2,no,15,,"aged tyranny; who sways,"
1,2,40,70,30,32,2,no,16,,"power, but as it is suffered. Come to me, that"
1,2,40,70,30,32,2,no,17,,of
1,2,40,70,30,32,2,no,18,,sleep till I waked
1,2,40,70,30,32,2,no,19,,"his revenue for ever, and live the"
1,2,40,70,30,32,2,no,20,,"of your brother, EDGAR.'"
1,2,40,70,30,32,2,no,21,,"Hum--conspiracy!--'Sleep till I waked him,"
1,2,40,70,30,32,2,no,22,,--you should
1,2,40,70,30,32,2,no,23,,Edgar! Had he a
1,2,40,70,30,32,2,no,24,,and brain to breed it in?--
1,2,40,70,30,32,2,no,25,,you? who brought it?
1,2,40,70,30,32,2,no,26,,"It was not brought me, my lord;"
1,2,40,70,30,32,2,no,27,,there's the
1,2,40,70,30,32,2,no,28,,at the casement of
1,2,40,70,30,32,2,no,29,,You know the character to be your
